orthography,ipa
تجهزت,tʒʌhːʌzt
بعدين,bəʕdei:n
كمان,kəma:n
اشتغل,əʃtəɣɪl
ع,ʕə
ما,maː
يوتوب,juːtuːb
فديو,fɪdju:
يلا,jʌɫːə
لس,ləs
قو,goʊ
قف,gɪv
اس,əs
لكا,ləkə
برابر,prɔpr̬
تور,tuːr
ون,wən
اي,aɪ
فرست,fr̬st
ستارتد,staːrdɪd
درون,drɔwɪŋ
ذس,ðɪs
يير,jiːr
يعني,jeʕnə
لا,la
ماشالله,ma:ʃʌɫ:ɔ:
سو,soʊ
نايس,naːɪs
في,fi
رفرنس,rεfrəns
ولا,wel:ə
بس,bəs
كدا,kɪdə
سم,sʌm
اف,əf
ذم,ðəm
في,fi
اي,aɪ
دون,doʊn
رممبر,rɪmεmbr̬
اي,aɪ
دون,doʊn
ثنك,θɪŋk
سو,soʊ
بعدينا,bəʕdeːnə
دس,ðɪs
ون,wʌn
إ,ɪ
وز,wəz
لايك,la:ɪk
واتر,waːɾr̬
كولير,kʊlɪr
تشراينق,tʃra:jɪŋ
اوت,aːw
سمثنق,sʌmθɪŋ
نيو,nuː
ذس,ðɪs
وز,wəz
لايك,la:ɪk
ا,ə
رفرنس,rεfrəns
بنتشست,pɪntrɪst
ذا,ða:
كد,kʊd
بي,bi
مي,mi
لوكي,loʊkiː
اتس,ɪts
نفر,nεvr̬
فنشد,fɪnɪʃd
مررا,məɾ:ə
كيوت,kjuːt
ذو,ðoʊ
ماشالله,ma:ʃʌɫ:ɔ:
لاك,ɫaːk
ماي,ma:ɪ
موست,moʊst
ريسنت,ri:sənt
درونق,drɔwɪŋ
اف,əf
لايكا,ɫaːɪkə
برسن,pr̬sɪn
ماشالله,ma:ʃʌɫ:ɔ:
ذر,ðɪr
سو,soʊ
نايس,naːɪs
او,ʊw
ثينكس,θeŋks
ان,en
ذن,ðən
ا,ə
وز,wəz
تشراينق,tʃra:jɪŋ
سمثنق,sʌmθɪŋ
وذ,wɪð
لايك,la:ɪk
تشاك,tʃɔk
هير,hi:r
هنا,hɪnə
برضو,bəɾdˤu
حلو,ħɪlu
ماشالله,ma:ʃʌɫ:ɔ:
ان,en
ذز,ðɪz
لاي,laɪ
ماي,ma
موست,moʊst
ريسنت,ri:sənt
ريسنت,ri:sənt
ون,wʌn
ماشالله,ma:ʃʌɫ:ɔ:
مرا,məɾ:ə
حلو,ħɪlu
ذاتس,ða:ts
ات,ɪt
فور,fr̬
ناو,naːw
يعني,jeʕnə
درا,dʒrɔː
مي,mi
نكست,nεkst
يلا,jəɫːə
يور,jr̬
نكست,nεkst
اوكي,oʊkei
انيويز,ənɪwei:z
قايز,ga:ɪz
ذاء,ða:ʔ
وز,wəz
ذاتس,ða:ts
هر,hr̬
درونق,dʒrɔɪŋ
مي,miː
ن,jɪn
ماي,maː
فرند,frεnd
جس,dʒəs
كيم,keːɪm
باك,baːk
فرم,frʌm:
مصر,əsˤəɾ
ان,ən
لك,lʊk
وت,wʌt
شي,ʃi
قات,gɔːʔ
مي,mi
اتس,ɪts
سو,soʊ
كيوت,kjuːt
حتى,ħət:ə
جابتلي,dʒa:bʌtli
ذس,ðɪs
اسورة,ɪswəɾə
اتس,ɪts
سو,soʊ
كيوت,kjuːt
آونو,aːwnːoʊ
اف,ɪf
يو,jʊ
كن,kɪn
سي,sɪ
اء,əʔ
ثينك,θeŋk
يو,ju
اتس,ɪts
سو,soʊ
كيوت,kjuːt
حتى,ħət:ə
البني,lbˤʌnɪ
من,mɪn
قدام,gʊd:a:m
ياكل,jaːkʊl
ملوخية,mʊiuːxiːjːə
ذيرز,ðeːrz
ون,wʌn
ثنق,θɪŋ
ذاتس,ða:ts
نات,nɔʔ
فري,vərɪ
بي,pi:
جي,dʒi:
سو,soʊ
اول,ɔː
ي,jʊ
ترايا,tʃraːj:ə
دو,du
از,z
ميك,me:k
مي,mi
فاء,fa:ʔ
واحنا,wɪħnə
قاعدين,gaːʕdiːn
فدة,fədːː
قررنا,qʌɾːəɾnə
انا,ənə
وصاح,wsˤəħ
نبا,nɪbə
نروح,nɾuːħ
كير,keːr
آوتلت,awtlɪt
هي,hi:jə
كانت,ka:nət
تحتاج,tɪħtadʒ
كم,kəm
شي,ʃej
وانا,wənə
الصراحة,sˤːəɾaːħə
طلبت,tˤəlʌbt
رموش,ɾʊmuːʃ
من,mɪn
قبل,gəbɪl
كم,kəm
يوم,joːm
لغاية,lɪɣaːjət
دحين,dəħ:e:n
ماوصلت,maːwɪsˤlət
خلاص,xəla:sˤ
حموت,ħʌmuːt
من,mɪn
دون,du:n
رموشي,ɾəmuːʃɪ
فرحنا,fəɾʊħnə
بس,bəs:
اشترينا,əʃtəɾeːnə
رموش,ɾʊmuːʃ
وكمان,wkəmaːn
طبعا,tˤebʕʌn
وي,wi
قات,gɔː
ا,ə
بت,bɪ
دستراكتد,dːɪstraːktɪd
فجأة,fədʒʔə
لقيت,ləgeːt
نفسي,nəfsɪ
اشتريت,ʃtəɾeːt
صابونة,sˤaːbuːnət
جسم,dʒɪsɪm
وفجاة,fədʒʔə
لقيت,ləgeːt
نفسي,nəfsɪ
اشتريت,ʃtəɾeːt
اشياء,əʃja:ʔ
برضو,bəɾdˤu
شويا,ʃwej:ə
راندم,rændəm
وصراحة,wsˤəɾa:ħə
كلها,kʊl:əhə
اشياء,əʃja:ʔ
اي,aɪ
نيدد,niːdɪd
وصراحة,wsˤəɾa:ħə
قايز,gaːɪz
ام,əm
آكشلي,aːkʃəlɪ
ادكتد,ədɪktɪd
تو,tʊ
كير,ke:r
آوتلت,awtlɪt
اي,aɪ
ثنك,θɪŋk
صحبتي,sˤʌħbətɪ
كمان,kəma:n
وبعدها,ʊbəʕdəhə
كمان,kəma:n
كانت,ka:nət
تبغاني,tɪbɣaːnɪ
اجرب,ədʒəɾːɪb
محل,mħʌl
حق,ħʌg
شاهي,ʃaːhɪ
طيب,tˤej:ɪb
نحكيكم,nɪħʌkiːkʊm
ع,ʕə
الاختطاف,lʔɪxtɪtˤa:f
الاول,əlʔʌw:əl
طبعا,tˤebʕʌn
زي,zəj
ماقلتلك,ma:gʊltəlːək
انا,ənə
الاختطاف,əlɪxtɪtˤa:f
الاول,əlʔʌw:əl
انا,ənə
كنت,kʊnt
مساعد,mʊsaːʕɪd
طيار,tˤəjːaːɾ
توي,təwːɪ
متخرج,mɪtxʌɾːɪdʒ
جديد,ʒədi:d
وكنا,wkʊnːə
رايحين,ɾaːjħiːn
جدة,dʒɪd:ə
رياض,ɾjaːdˤ
على,ʕələ
رحلة,ɾɪħlə
صفر,sˤɪfɪɾ
اربعة,əɾbəʕə
صفر,sˤɪfɪɾ
صفر,sˤɪfɪɾ
اربعين,əɾbəʕiːn
رحلة,ɾɪħlə
جدة,dʒɪd:ə
رياض,ɾjaːdˤ
طبعا,tˤebʕʌn
عادة,ʕaːdətən
احنا,ɪħnə
غرفة,ɣʊɾfət
القيادة,qjaːdə
يتم,jətɪm
تكريمنا,təkɾiːmənə
بصراحة,bsˤəɾaːħə
انو,ɪn:u
ايش,e:ʃ
لما,ləm:ə
تطلع,tɪtˤləʕ
الطيارة,ətˤːəjːaːɾə
في,fi
اماكن,əmaːkɪn
درجة,dəɾədʒə
اولى,ʔu:lə
يجلسونا,jɪdʒəlːɪsuːnə
درجة,dəɾədʒə
اولى,ʔu:lə
طبعا,tˤebʕʌn
سوولنا,səwːoːlənə
ابقريد,əbgɾeːd
طلعنا,tˤɪlɪʕnə
درجة,dəɾədʒə
اولى,u:lə
انا,ənə
والكبتن,wəlkəbtɪn
كان,kɑn
كبتن,kəbtɪn
كيجج,keːdʒdʒ
اي,əj
راكب,ɾaːkɪb
فلحالتين,fɪlħaːləteːn
طالعين,tˤaːlʕiːn
احنا,ɪħnə
يسموها,jsəmːuːhə
ددد,dədɪd
تطلع,tɪtˤlʌʕ
كراكب,kəɾaːkɪb
بزي,bɪz:i
الرسمي,əɾːəsmɪ
وبعدين,wʊbəʕdei:n
تشتغل,tɪʃtəɣɪl
رحلة,ɾɪħlə
ثانية,θa:njə
ريبوزشن,ɾiːbʊzɪʃɪn
يعتبروها,jɪʕtəbɾuːhə
يعني,jeʕnə
انك,ɪn:ək
تروح,tɪɾʊħ
مكان,məkaːn
ثاني,θaːnɪ
وبعدين,wʊbəʕdei:n
تشتغل,tɪʃtəɣɪl
رحلة,ɾɪħlə
ثانية,θa:njə
احنا,ɪħnə
طالعين,tˤaːlʕiːn
بالزي,bɪz:i
الرسمي,əɾːəsmɪ
كركاب,kəɾʊkːaːb
بس,bəs
طبعا,tˤebʕʌn
احنا,ɪħnə
يعني,jəʕnɪ
في,fɪ
حالة,ħaːlət
اضطرارية,ɪtˤːɪɾaːɾiːjːə
مثلا,məθələn
نساعد,nɪsaːʕɪd
لازم,la:zɪm
ت,tə
تساعد,tɪsaːʕɪd
فتح,fətħ
باب,baːb
نزل,nəzːɪl
ركاب,ɾʊkːaːb
ساعد,saːʕɪd
رجال,ɾɪdʒːaːl
كبير,kəbiːɾ
زي,zəj
كذا,kɪðə
يعني,jeʕnə
مدربين,mdəɾːəbiːn
ايش,e:ʃ
برضو,bəɾdˤu
نعتبر,nʊʕtəbəɾ
ملاحين,məlːaːħiːn
ف,fə
الطائرة,tˤːaːɪɾə
الشاهد,əʃːaːhɪd
بعد,beʕd
الاقلاع,əlɪqlaːʕ
احنا,ɪħnə
جالسين,dʒaːlsiːn
ف,fɪ
درجة,dəɾədʒə
اولى,u:lə
طبعا,tˤebʕʌn
اتذكر,ətðəkːəɾ
انا,ənə
والله,wəɫ:ə
انو,ɪn:u
ف,fɪ
الجهة,ldʒɪhə
اليمين,ljəmiːn
اول,əwːəl
كرسيين,kʊɾsɪjeːn
تراي,tɾaːɪ
ستار,staːɾ
تراي,tɾaːɪ
ستار,staːɾ
تعتبر,tʊʕtəbəɾ
طيارة,tˤəjːaːɾə
والمقاعد,wəlməgaːʕɪd
ديك,ðiːk
الفخمة,əlfʌxmə
وشغل,wxʊɣʊl
يعني,jeʕnə
ايامها,əjːaːməhə
كان,kɑn
يعني,jeʕnə
كانت,ka:nət
الخطوط,əlxʊtˤuːtˤ
تعتبر,tʊʕtəbəɾ
من,mɪn
من,mɪn
افضل,əfdˤəl
خطوط,əlxʊtˤuːtˤ
فالشرق,fɪʃːəɾg
الاوسط,əlʔəwsˤʌtˤ
جالسين,dʒaːlsiːn
الا,ɪl:ə
بعد,beʕd
الاقلاع,əlɪqlaːʕ
اعزكم,əʕəzːəkʊm
الله,aɫ:ɔ
دخلت,dəxəlt
دورة,dəwɾət
المياه,əlmɪjaːh
وانا,wənə
داخل,daːxɪl
دورة,dəwɾət
المياه,əlmɪjaːh
فلامام,fɪləmaːm
قابلتني,gaːbələtnɪ
تونسي,tuːnsɪ
ااا,aː
مضيفة,mʊdˤiːfə
تركية,tʊɾkɪjːə
قالتلي,ga:lʌtli
انو,ɪn:u
في,fi
معانا,mʕa:nə
مختطف,mʊxtətˤɪf
طبعا,tˤebʕʌn
انا,ənə
يعني,jeʕnə
وقتها,wʌgtəhə
مني,mənɪ
مركز,mɾəkːɪz
صراحة,sˤəɾa:ħə
دخلت,dəxəlt
الحمام,əlħəmːaːm
اعزك,əʕəzːək
الله,aɫ:ɔ
وانا,wənə
خارج,xaːɾɪdʒ
قالتلي,ga:lʌtli
هي,hi:
بوينت,poɪnt
ا,ə
قن,gʌn
انتو,ɪntʊ
ماي,maːɪ
نك,nək
ان,ən
هي,hiː
فورسد,foːɾsd
مي,mi
تو,tʊ
اوبن,ʊbɪn
ذ,ð
كوكبت,kʊkbɪd:
دور,oːɾ
يعني,jeʕnə
حط,ħʌtˤ
المسدس,əlmʊsədːəs
على,ʕələ
رقبتها,ɾəgəbəthə
قلها,gəlːəhə
افتحي,əftəħɪ
باب,baːb
غرفة,ɣʊɾfət
القيادة,əlqjaːdə
طبعا,tˤebʕʌn
دحين,dəħ:e:n
الان,əlʔa:n
الموظوع,əlməwðˤuːʕ
يعني,jeʕnə
جاد,dʒaːd
رحت,ɾʊħt
للكبتن,lɪlkəbtɪn
اللي,ɪl:i
معايا,məʕa:jə
طبعا,tˤebʕʌn
انا,ənə
خبرتي,xɪbɾətɪ
قليلة,gəliːlə
لسع,lɪsːʌʕ
توي,təwːɪ
متخرج,mɪtxəɾːɪdʒ
و,w
هذا,ha:ðə
رحت,ɾʊħt
للكبتن,lɪlkəbtɪn
قلتلو,gʊltəlːʊ
كبتن,kəbtɪn
ترا,təɾə
معانا,mʕa:nə
مختطف,mʊxtətˤɪf
يعني,jeʕnə
اش,ɪʃ
تتوقع,tɪtwʌgːəʕ
يسير,ɪsi:ɾ
قلي,gəl:i
احنا,ɪħnə
مالنا,maːlənə
شغل,ʃʊɣʊl
احنا,ɪħnə
حسب,ħʌsəb
الانظمة,əlʔənðˤɪmə
نقعد,nɪgʕʊd
وننتظر,ʊnɪntəðˤɪɾ
والله,wəɫ:ɔ
بصراحة,bsˤəɾaːħə
شوف,ʃu:f
يعني,jeʕnə
الحس,əlħɪsː
الوطني,əlwətˤʌnɪ
خلاني,xəlːaːnɪ
اخد,aːxʊd
المبادرة,əlmʊbaːdəɾə
واحاول,wəħawɪl
اشوف,əʃu:f
اي,əj
طريقة,təɾi:gə
انو,ɪn:u
ممكن,mʊmkɪn
ننهي,nɪnhɪ
الاختطاف,lɪxtɪtˤa:f
ذا,ðə
يعني,jeʕn
بأقل,bɪʔ̃əqʌlː
الخسائر,əlxəsaːʔ̃ɪɾ
ف,fɪ
البداية,lbɪdaːjə
لأ,ləʔ
طبعا,tˤebʕʌn
ف,fɪ
البداية,lbɪdaːjə
محد,mʌħəd
لاحظ,laːħʌðˤ
بس,bəs
بعدين,bəʕdei:n
طبعا,tˤebʕʌn
مع,məʕ
الاحداث,əlʔəħdaːθ
سارو,saːɾʊ
الناس,naːs
انتبهو,əntəbəhʊ
طبعا,tˤebʕʌn
يعني,jeʕnə
الرحلة,ɾːɪħlə
كانت,ka:nət
ساعة,sa:ʕə
ونص,wnʊsˤ
قعدنا,gəʕədnə
احنا,ɪħnə
حوالي,ħəwaːlɪ
ساعت,saːʕət
تلات,təlaːt
ساعات,saʕaːt
فالجو,fɪldʒəw
والله,wəɫ:ɔ
شوف,ʃu:f
يعني,jeʕnə
انا,ənə
حذكرلك,ħʌðkʊɾlək
هي,hi:jə
اثناء,əθnaʕ
الحديث,əlħədiːθ
اتعرف,ətɪʕɾɪf
الناس,ənaːs
ماهم,maːhʊm
داريين,daːɾjiːn
يعني,jeʕnə
ااا,aː
ساعة,sa:ʕə
ونص,wnʊsˤ
وتسير,wʊtsiːɾ
مثلا,saːʕəteːn
ساعتين,məθələn
تسير,tsiːɾ
ساعتين,wnʊsˤ
ونص,saːʕəteːn
ثلاثة,θəlaːθə
ساعات,saːʕaːt
يبدأو,jɪbdəʕʊ
الناس,nːaːs
يقلقو,jɪgləgʊ
يعني,jeʕnə
انا,ənə
كنت,kʊnt
امر,amʊɾ
في,fɪ
اثناء,əθnaːʔ
امر,amʊɾ
ف,fɪ
ال,l
ممرات,məməɾːaːt
اشوف,əʃu:f
انا,ənə
اش,ɪʃ
الوضع,əlwʌdˤʕ
كيف,ke:f
الوضع,əlwʌdˤɪʕ
يعني,jeʕnə
كانو,kaːnʊ
يسالوني,jɪsʔəluːnɪ
طبعا,tˤebʕʌn
انا,ənə
عشاني,ʕəʃənːɪ
لابس,la:bɪs
يونيفورم,jʊnɪfoːɾm
اش,ɪʃ
في,fɪ
في,fɪ
ليش,le:ʃ
مانزلنا,manəzəlnə
قلتلهم,gʊltəlːəhʊm
والله,wəɫ:a
مطار,mətˤaːɾ
الرياض,əɾːɪjaːdˤ
مغلق,mʊɣləq
ورايحين,wɾaːjħiːn
لمطار,mətˤaːɾ
الظهران,əðˤːhɾaːn
في,fi
ذلك,ða:lɪk
الوقت,elwʌqt
يعني,jeʕnə
احنا,ɪħnə
نحاول,nħaːwɪl
قد,gəd
مانقدر,maːnɪgdəɾ
انو,ɪn:u
ما,ma:
يسير,jsi:ɾ
ذعر,ðʊʕɾ
ف,fɪ
الطائرة,tˤːaːʔɪɾə
لمن,ləm:ən
يسير,jesi:ɾ
ذعر,ðʊʕɾ
حيسير,ħəjsiːɾ
مشاكل,məʃaːkɪl
حيسير,ħəjsiːɾ
مثلا,məθələn
حتتطور,ħətɪtˤːəwːɾ
الامور,əlʔʊmuːɾ
الشاهد,əʃːaːhɪd
انا,ənə
دخ,dəx
دحين,d
د,deħ:i:n
كلمت,kəlːəmt
الكبتن,əlkəbtɪn
طبعا,tˤebʕʌn
ماعجبني,maːʕədʒəbnɪ
كلام,kəlaːm
الكبتن,əlkəbtɪn
هو,hʊw
الصراحة,əsˤːəɾaːħə
الكلامو,əlkəlaːmʊ
هوا,hʊw:ə
الصح,əsˤːʌħ
يعني,jeʕnə
احنا,ɪħnə
مانقدر,maːnɪgdəɾ
المفروض,əlməfɾuːdˤ
انو,ɪn:u
مانسوي,maːnsəwːɪ
شي,ʃej
اللي,ɪl:i
خلاني,xəlaːnɪ
ااا,aː
ابادر,əbaːdɪɾ
بالمهمة,bɪlmʊhɪmːʌ
دي,di
انو,ɪn:u
مافي,maːfɪ
عندنا,ʕɪndənə
سعوديين,sʕuːdɪjiːn
مرة,məɾːə
يعني,jeʕnə
اللي,l:i
ااا,a:
اللي,ɪl:i
موجودين,məwdʒuːdiːn
في,fi
ذاك,ðaːlɪk
الوقت,elwʌqt
طبعا,tˤebʕʌn
ماكان,maːkaːn
في,fi
مضيفين,mʊðˤiːfːn
سعوديين,sʕuːdɪjiːn
معظمهم,mʊʕðˤʌmhʊm
اجانب,ədʒaːnɪb
ال,əl
ال,əl
الطاقم,ətˤːaːqʌm
اللي,ɪl:i
موجود,məwdʒuːd
كان,ka:n
فرانكفرت,fɾaːŋkfʊɾt
بيس,beɪs
يعني,jeʕnə
هما,hʊmːə
ساكنين,sa:kni:n
ففرانكفت,fɪfɾaːŋkfʊɾt
ويشتغلو,wɪʃtʌɣlʊ
رحلات,ɾɪħlaːt
ويرجعو,wɪɾdʒəʕʊ
فرانكفورت,fɾaːŋkfʊɾt
كلهم,kʊlːəhʊm
تقريبا,təqɾi:bən
جنسيات,dʒɪnsɪjːaːt
الشاهد,əʃːaːhɪd
بعد,beʕdɪ
كدا,kɪdə
نزلنا,nəzəlnə
رحت,ɾʊħt
المستشفى,əlmʊstəʃfə
طبعا,tˤebʕʌn
اعطوني,əʕtˤoːnɪ
ابرت,ɪbɾət
في,fi
عندهم,ʕɪndʌhʊm
ااا,a:
طبعا,tˤebʕʌn
لمن,ləmːən
تكون,tɪku:n
هاذي,haːðˤɪ
تعتبر,tʊʕtəbəɾ
تسمم,təsəmːʊː
يعطوك,jɪʕtˤuːk
ابرت,ɪbɾət
ااا,aː
عدة,ʕɪdːə
ابر,ɪbəɾ
من,mɪn
ااا,aː
عضة,ʕədˤːət
الكلب,əlkəlb
واخذونا,wəxəðoːnə
طبعا,tˤebʕʌn
صحافة,sˤəħaːfə
كانت,ka:nət
وقتها,wəgtəhə
طبعا,tˤebʕʌn
ماهو,ma:hʊ
زي,zəj
الآن,əlʔaːn
الميديا,əlmiːdjə
كان,ka:n
الناس,ənːas
في,fi
ذلك,ða:lɪk
الوقت,elwʌqt
طبعا,tˤebʕʌn
الميديا,əlmiːdjə
ااا,a:
تختلف,tɪxtəlɪf
تماما,təmaːmən
كان,ka:n
في,fi:
سي,si
ان,ən
ان,ən
و,uː
بي,bi
بي,bi
سي,si
طبعا,tˤebʕʌn
حاولو,ħaːwəlʊ
يسوو,jsəwːʊ
معانا,məʕa:nə
مقابلة,mʊqaːbələ
قلتلهم,gʊltəlːəhʊm
انا,ənə
ماسوي,ma:səwːɪm
مقابلة,mʊqaːbələ
نحنا,nɪħnə
حسب,ħəsəb
القوانين,əlqəwaːniːn
انو,ɪn:u
ممنوع,məmnuːʕ
نسوي,nsəwːɪ
اي,əj
مقابلات,mʊqabəla:t
طبعا,tˤebʕʌn
عندهم,ʕɪndʌhʊm
هما,hʊmːə
امفرميشن,ɪmfʊɾmeɪʃɪn
اا,a:
معلومات,məʕluːmaːt
من,mɪn
الركاب,əɾ:ʊk:a:b
طبعا,tˤebʕʌn
الركاب,əɾ:ʊk:a:b
مافي,maːfɪ
انطلق,əntˤʌlʌq
ااا,a:
المهم,almʊhɪm
اخذونا,əxəðoːnə
اقولك,əgʊlːək
علمستشفى,ʕəlmʊstəʃfə
بعدين,bəʕdei:n
رحنا,ɾʊħnə
الفندق,əlfʊndʊg
استقبلونا,əstəgbəloːnə
مين,mi:n
ركاب,ɾʊkːaːb
طبعا,tˤebʕʌn
ال,əl
ااا,a:
سفارة,səfaːɾə
السعودية,əsːʊʕuːdɪj:a
قامو,gaːmu
بلواجب,bɪlwaːdʒɪb
جزاهم,dʒəzaːhʊm
الله,aɫ:ɔ
خير,xeːɾ
حجزولنا,ħədʒəzoːlənə
فندق,fʊndʊg
و,wʊ
نزلنا,nəzəlnə
ف,f
الفندق,ɪlfʊndʊg
امنولنا,əmːənoːlənə
طبعا,tˤebʕʌn
انو,ɪn:u
جابو,dʒaːbu
العفش,əlʕʌfʃ
حق,ħʌg
الركاب,əɾ:ʊk:a:b
من,mɪn
الطيارة,ətˤːəjːaːɾə
لان,lən
الركاب,əɾ:ʊk:a:b
طبعا,tˤebʕʌn
في,fi
ناس,na:s
قطعت,gətˤːəʕət
ملابسهم,məlaːbɪs:hʊm
فساتينهم,fəsaːtiːnəhʊm
مع,məʕ
النزول,ənːʊzuːl
ويحتاجو,wjɪħtaːdʒʊ
يتغيرو,jɪtɣəjːəɾʊ
ويحتاجو,wjɪħtaːdʒʊ
ووو,wu:
يعني,jeʕnə
كل,kʊl
واحد,wa:ħɪd
ياخد,jaːxʊd
شنطتو,ʃˤʌnˤtˤətʊ
وصلت,wɪsˤɪlt
الفندق,əlfʊndʊg
انا,ənə
صارو,sˤɑːɾu
يصفقولي,jsˤʌf:ɪgu:lɪ
انا,ənə
و,w
معايا,məʕaːjə
فلمبان,fɪlɪmbaːn
ووو,wu:
معانا,mʕa:nə
حمد,ħʌməd
بوسبيد,bʊsbeːd
انو,ɪn:u
ع,ʕə
العمل,əlʕəməl
البطولي,əlbʊtˤuːlɪ
اللي,l:i
عملناه,ʕəməlnaː
طبعا,tˤebʕʌn
كان,kən
يعني,jeʕnə
فرحة,fəɾħə
صراحة,sˤəɾa:ħə
وكان,wkaːn
انا,ənə
قلتلهم,gʊltəlːəhʊm
صراحة,sˤəɾa:ħə
هذا,ha:ðə
واجبنا,wadʒɪbnə
يعني,jeʕnə
هذا,ha:ðə
ال,əl
اا,aː
بنأدي,bɪnʔədːɪ
الواجب,lwaːdʒɪb
رحت,ɾʊħt
الغرفة,əlɣʊɾfə
طبعا,tˤebʕʌn
انا,ənə
ريحت,wɾəjːəħt
شويا,ʃwej:ə
كذا,kɪðə
صليت,sˤʌleːt
و,w
ريحت,ɾəjːəħt
طبعا,tˤebʕʌn
ابغى,əbɣə
ابغى,əbɣə
انام,ənaːm
يعني,jeʕnə
مهو,məhʊ
دخلت,dəxəlt
فنومة,fɪnoːmə
الا,əl:ə
جاتني,dʒaːtənɪ
كوابيس,kəwabiːs
كمان,kəma:n
يعني,jeʕnə
كوابيس,kəwaːbiːs
تعرف,tɪʕɾɪf
ما,maː
يعني,jeʕnə
هاذا,ha:də
ااا,a:
ااا,a:
هاذا,ha:də
يعني,jeʕnə
انو,ɪn:u
تقوم,dgu:m
منزعج,mɪnzəʕɪdʒ
مانك,maːnək
عارف,ʕa:ɾɪf
ليش,le:ʃ
يعني,jeʕnə
يعني,jeʕnəv
ااا,a:
انام,ənaːm
شويا,ʃwej:ə
اقوم,əguːm
ااا,a:
ااا,a:
اتنا,ətna
اتفزز,ətfəzːəz
كذا,kɪðə
و,w
المهم,almʊhɪm
طبعا,tˤebʕʌn
ارسلونا,əɾsəloːnə
طيارة,tˤəjːaːɾə
اخرى,ʊxɾə
من,mɪn
السعودية,əsːʊʕuːdɪjːə
و,wʊ
جا,dʒa
معاهم,məʕəhʊm
طبعا,tˤebʕʌn
مدير,mʊdiːɾ
السلام,əsːəlaːm
في,fi
ذلك,ða:lɪk
الوقت,elwʌqt
ااا,a:
كبتن,kəbtɪn
محمد,mħʌmːəd
برنجي,bɾʊndʒɪ
ومعاهم,wməʕaːhʊm
صحفيين,sˤʌħfɪjiːn
جو,dʒoː
بطيارة,btˤəjːaːɾə
اير,eːɾ
بس,bʌs
ووو,wu:
طبعا,tˤebʕʌn
طلعنا,tˤɪlɪʕnə
الطيارة,ətˤəjːaːɾə
احنا,ɪħnə
وسارو,wsaːɾʊ
يستجوبونا,jɪstədʒwɪbuːnə
ومش,wmʊʃ
عارف,ʕa:ɾɪf
ايش,e:ʃ
المختطف,əlmʊxtətˤɪf
بعدين,bəʕdei:n
طبعا,tˤebʕʌn
ااا,aː
مختطف,mʊxtətˤɪf
طبعا,tˤebʕʌn
ما,maː
مات,maːt
هوا,hʊw:ə
يعني,jeʕnə
ما,maː
مات,maːt
ط,tˤə
ااا,aː
انا,ənə
فكتابي,fɪktaːbɪ
ذكرت,ðˤəkəɾt
ااا,aː
نبذة,nʊbðə
عنو,ʕʌnːʊ
الآن,əlʔaːn
اشسرلو,ɪʃsəɾlʊ
بعدين,bəʕdei:n
توفى,twəfːə
ااا,a:
وفاة,wəfa:
طبيعية,tˤəbiːʕɪjːə
في,fi
ييي,i:
ااا,a:
منطقة,məntˤɪqə
فليمن,fɪljəmən
وذكرت,wðʌkˤʌɾt
لو,luː
وكذا,wkɪðə
تقريبا,təqɾi:bən
ااا,aː
صفحة,sˤəfħə
عن,ʕʌn
ااا,a:
العمل,əlʕmʌəl
اللي,ɪl:i
كان,kaːn
يعملو,jʌʕməlʊ
و,wu
اش,ɪʃ
اهدافو,əhdaːfʊ
اي,i:
بالضبط,bɪðˤːʌbtˤ
طبعا,tˤebʕʌn
فرحة,fəɾħə
كانت,ka:nət
لما,ləm:ə
وصلنا,wsˤɪlnə
المطار,əlmˤʌtˤaːɾ
طبعا,tˤebʕʌn
يعني,jeʕnə
انو,ɪn:u
ووو,u:
رجعنا,ɾdʒɪʕnə
ارض,əɾdˤ
الوطن,əlwˤʌtˤən
كانت,ka:nət
فرحة,fəɾħə
كبيرة,kʌbi:ɾə
صراحة,sˤəɾa:ħə
ااا,aː
واللي,wɪl:ə
خ,xə
زادني,za:dənɪ
فرحة,fəɾħə
انو,ɪn:u
الامير,əlʔ̃əmi:ɾ
سلطان,sʊltˤaːn
رحمة,ɾʌħmət
الله,aɫ:ɔ
عليه,ʕəle:
يعني,jeʕnə
كان,ka:n
متتبع,mɪtətəbːɪʕ
للموضوع,lɪlməwðˤuːʕ
من,mɪn
بدايتو,bɪdaːjətʊ
لنهايتو,lɪnhaːjətʊ
وصلنا,wsˤɪlnə
المطار,əlmˤʌtˤaːɾ
قالو,ga:lʊ
الامير,lʔəmi:ɾ
سس,səs
سلطان,sʊltˤaːn
يود,jəwədːʊ
التحدث,tːəħədːʊθə
اليك,ɪlejk
طبعا,tˤebʕʌn
انا,ənə
هادي,ha:dɪ
ال,əl
كانت,ka:nət
ال,əl
يعني,jeʕnə
زادتني,zaːdətnɪ
فف,fəf
فرحة,fəɾħə
زيادة,zjaːdə
يعني,jeʕnə
انو,ɪn:u
ولاة,wʊlaːt
الامر,əlʔəmɾ
مهتمين,mɪhtəmːin
بلموضوع,bɪlməwdˤuʕ
وبعدين,wʊbəʕdei:n
قااا,gaː
رحمة,ɾəħmət
الله,aɫ:ɔ
عليه,ʕəle:
يعني,jeʕnə
كافأني,kaːfəʔnɪ
بعدين,bəʕdei:n
كلمني,kəlːəmnɪ
قلي,gəl:i
ااا,aː
